Date,S&P Comp,Dividend,Earnings,GS10
1884.03,5.3,0.33,0.38,3.6
1884.04,5.06,0.32,0.37,3.6
1884.05,4.65,0.32,0.36,3.59
1884.06,4.46,0.32,0.36,3.58
1884.07,4.46,0.32,0.35,3.57
1884.08,4.74,0.32,0.34,3.56
1884.09,4.59,0.32,0.33,3.55
1884.1,4.44,0.31,0.33,3.55
1884.11,4.35,0.31,0.32,3.54
1884.12,4.34,0.31,0.31,3.53
1885.01,4.24,0.3,0.31,3.52
1885.02,4.37,0.3,0.3,3.51
1885.03,4.38,0.29,0.3,3.5
1885.04,4.37,0.29,0.3,3.48
1885.05,4.32,0.28,0.29,3.47
1885.06,4.3,0.28,0.29,3.46
1885.07,4.46,0.27,0.29,3.45
1885.08,4.71,0.26,0.28,3.43
1885.09,4.65,0.26,0.28,3.42
1885.1,4.92,0.25,0.28,3.41
1885.11,5.24,0.25,0.27,3.4
1885.12,5.2,0.24,0.27,3.38
1886.01,5.2,0.24,0.28,3.37
1886.02,5.3,0.24,0.28,3.38
1886.03,5.19,0.24,0.29,3.4
1886.04,5.12,0.23,0.29,3.41
1886.05,5.02,0.23,0.3,3.42
1886.06,5.25,0.23,0.3,3.43
1886.07,5.33,0.23,0.31,3.45
1886.08,5.37,0.23,0.31,3.46
1886.09,5.51,0.23,0.32,3.47
1886.1,5.65,0.22,0.32,3.48
1886.11,5.79,0.22,0.33,3.5
1886.12,5.64,0.22,0.33,3.51
1887.01,5.58,0.22,0.33,3.52
1887.02,5.54,0.23,0.34,3.53
1887.03,5.67,0.23,0.34,3.55
1887.04,5.8,0.23,0.34,3.56
1887.05,5.9,0.23,0.34,3.57
1887.06,5.73,0.24,0.35,3.58
1887.07,5.59,0.24,0.35,3.6
1887.08,5.45,0.24,0.35,3.61
1887.09,5.38,0.24,0.35,3.62
1887.1,5.2,0.25,0.36,3.63
1887.11,5.3,0.25,0.36,3.65
1887.12,5.27,0.25,0.36,3.66
1888.01,5.31,0.25,0.35,3.67
1888.02,5.28,0.25,0.34,3.65
1888.03,5.08,0.25,0.34,3.63
1888.04,5.1,0.24,0.33,3.62
1888.05,5.17,0.24,0.32,3.6
1888.06,5.01,0.24,0.31,3.58
1888.07,5.14,0.24,0.3,3.56
1888.08,5.25,0.24,0.29,3.54
1888.09,5.38,0.24,0.29,3.52
1888.1,5.35,0.23,0.28,3.51
1888.11,5.24,0.23,0.27,3.49
1888.12,5.14,0.23,0.26,3.47
1889.01,5.24,0.23,0.26,3.45
1889.02,5.3,0.23,0.27,3.45
1889.03,5.19,0.23,0.27,3.45
1889.04,5.18,0.23,0.27,3.44
1889.05,5.32,0.23,0.28,3.44
1889.06,5.41,0.23,0.28,3.44
1889.07,5.3,0.22,0.28,3.44
1889.08,5.37,0.22,0.29,3.43
1889.09,5.5,0.22,0.29,3.43
1889.1,5.4,0.22,0.29,3.43
1889.11,5.35,0.22,0.3,3.43
1889.12,5.32,0.22,0.3,3.42
1890.01,5.38,0.22,0.3,3.42
1890.02,5.32,0.22,0.3,3.44
1890.03,5.28,0.22,0.3,3.45
1890.04,5.39,0.22,0.3,3.47
1890.05,5.62,0.22,0.3,3.49
1890.06,5.58,0.22,0.3,3.5
1890.07,5.54,0.22,0.29,3.52
1890.08,5.41,0.22,0.29,3.54
1890.09,5.32,0.22,0.29,3.55
1890.1,5.08,0.22,0.29,3.57
1890.11,4.71,0.22,0.29,3.59
1890.12,4.6,0.22,0.29,3.6
1891.01,4.84,0.22,0.29,3.62
1891.02,4.9,0.22,0.3,3.62
1891.03,4.81,0.22,0.3,3.62
1891.04,4.97,0.22,0.31,3.62
1891.05,4.95,0.22,0.31,3.61
1891.06,4.85,0.22,0.32,3.61
1891.07,4.77,0.22,0.32,3.61
1891.08,4.93,0.22,0.32,3.61
1891.09,5.33,0.22,0.33,3.61
1891.1,5.33,0.22,0.33,3.61
1891.11,5.25,0.22,0.34,3.6
1891.12,5.41,0.22,0.34,3.6
1892.01,5.51,0.22,0.34,3.6
1892.02,5.52,0.22,0.35,3.61
1892.03,5.58,0.23,0.35,3.63
1892.04,5.57,0.23,0.35,3.64
1892.05,5.57,0.23,0.35,3.65
1892.06,5.54,0.23,0.36,3.66
1892.07,5.54,0.23,0.36,3.68
1892.08,5.62,0.23,0.36,3.69
1892.09,5.48,0.24,0.36,3.7
1892.1,5.59,0.24,0.37,3.71
1892.11,5.57,0.24,0.37,3.73
1892.12,5.51,0.24,0.37,3.74
1893.01,5.61,0.24,0.36,3.75
1893.02,5.51,0.24,0.35,3.75
1893.03,5.31,0.24,0.34,3.74
1893.04,5.31,0.24,0.33,3.74
1893.05,4.84,0.24,0.32,3.73
1893.06,4.61,0.25,0.32,3.73
1893.07,4.18,0.25,0.31,3.73
1893.08,4.08,0.25,0.3,3.72
1893.09,4.37,0.25,0.29,3.72
1893.1,4.5,0.25,0.28,3.71
1893.11,4.57,0.25,0.27,3.71
1893.12,4.41,0.25,0.26,3.7
1894.01,4.32,0.25,0.25,3.7
1894.02,4.38,0.24,0.24,3.68
1894.03,4.51,0.24,0.24,3.66
1894.04,4.57,0.24,0.23,3.64
1894.05,4.4,0.23,0.22,3.62
1894.06,4.34,0.23,0.21,3.6
1894.07,4.25,0.23,0.2,3.58
1894.08,4.41,0.22,0.19,3.56
1894.09,4.48,0.22,0.19,3.54
1894.1,4.34,0.22,0.18,3.52
1894.11,4.34,0.21,0.17,3.5
1894.12,4.3,0.21,0.16,3.48
1895.01,4.25,0.21,0.17,3.46
1895.02,4.19,0.21,0.18,3.47
1895.03,4.19,0.21,0.18,3.48
1895.04,4.37,0.2,0.19,3.5
1895.05,4.61,0.2,0.2,3.51
1895.06,4.7,0.2,0.21,3.52
1895.07,4.72,0.2,0.21,3.53
1895.08,4.79,0.2,0.22,3.54
1895.09,4.82,0.2,0.23,3.55
1895.1,4.75,0.19,0.24,3.57
1895.11,4.59,0.19,0.24,3.58
1895.12,4.32,0.19,0.25,3.59
1896.01,4.27,0.19,0.25,3.6
1896.02,4.45,0.19,0.24,3.58
1896.03,4.38,0.19,0.24,3.57
1896.04,4.42,0.19,0.24,3.55
1896.05,4.4,0.19,0.23,3.53
1896.06,4.32,0.19,0.23,3.52
1896.07,4.04,0.18,0.23,3.5
1896.08,3.81,0.18,0.22,3.48
1896.09,4.01,0.18,0.22,3.47
1896.1,4.1,0.18,0.22,3.45
1896.11,4.38,0.18,0.21,3.43
1896.12,4.22,0.18,0.21,3.42
1897.01,4.22,0.18,0.22,3.4
1897.02,4.18,0.18,0.23,3.4
1897.03,4.19,0.18,0.24,3.39
1897.04,4.06,0.18,0.24,3.39
1897.05,4.08,0.18,0.25,3.38
1897.06,4.27,0.18,0.26,3.38
1897.07,4.46,0.18,0.27,3.38
1897.08,4.75,0.18,0.28,3.37
1897.09,4.98,0.18,0.29,3.37
