Date,S&P Comp,Dividend,Earnings,GS10
1926.03,11.81,0.62,1.25,3.62
1926.04,11.48,0.63,1.25,3.6
1926.05,11.56,0.64,1.25,3.57
1926.06,12.11,0.65,1.25,3.54
1926.07,12.62,0.65,1.24,3.51
1926.08,13.12,0.66,1.24,3.48
1926.09,13.32,0.67,1.24,3.45
1926.1,13.02,0.68,1.24,3.43
1926.11,13.19,0.68,1.24,3.4
1926.12,13.49,0.69,1.24,3.37
1927.01,13.4,0.7,1.23,3.34
1927.02,13.66,0.7,1.22,3.34
1927.03,13.87,0.71,1.21,3.34
1927.04,14.21,0.72,1.2,3.34
1927.05,14.7,0.72,1.19,3.34
1927.06,14.89,0.73,1.18,3.34
1927.07,15.22,0.74,1.16,3.34
1927.08,16.03,0.74,1.15,3.33
1927.09,16.94,0.75,1.14,3.33
1927.1,16.68,0.76,1.13,3.33
1927.11,17.06,0.76,1.12,3.33
1927.12,17.46,0.77,1.11,3.33
1928.01,17.53,0.78,1.13,3.33
1928.02,17.32,0.78,1.16,3.35
1928.03,18.25,0.79,1.18,3.38
1928.04,19.4,0.8,1.2,3.4
1928.05,20,0.8,1.22,3.42
1928.06,19.02,0.81,1.25,3.44
1928.07,19.16,0.82,1.27,3.47
1928.08,19.78,0.82,1.29,3.49
1928.09,21.17,0.83,1.31,3.51
1928.1,21.6,0.84,1.34,3.53
1928.11,23.06,0.84,1.36,3.56
1928.12,23.15,0.85,1.38,3.58
1929.01,24.86,0.86,1.4,3.6
1929.02,24.99,0.87,1.42,3.57
1929.03,25.43,0.88,1.44,3.55
1929.04,25.28,0.89,1.46,3.52
1929.05,25.66,0.9,1.48,3.5
1929.06,26.15,0.91,1.5,3.47
1929.07,28.48,0.92,1.51,3.45
1929.08,30.1,0.93,1.53,3.42
1929.09,31.3,0.94,1.55,3.39
1929.1,27.99,0.95,1.57,3.37
1929.11,20.58,0.96,1.59,3.34
1929.12,21.4,0.97,1.61,3.32
1930.01,21.71,0.97,1.56,3.29
1930.02,23.07,0.97,1.5,3.29
1930.03,23.94,0.97,1.45,3.3
1930.04,25.46,0.97,1.4,3.3
1930.05,23.94,0.97,1.34,3.31
1930.06,21.52,0.98,1.29,3.31
1930.07,21.06,0.98,1.24,3.32
1930.08,20.79,0.98,1.18,3.32
1930.09,20.78,0.98,1.13,3.32
1930.1,17.92,0.98,1.08,3.33
1930.11,16.62,0.98,1.02,3.33
1930.12,15.51,0.98,0.97,3.34
1931.01,15.98,0.97,0.94,3.34
1931.02,17.2,0.95,0.91,3.37
1931.03,17.53,0.94,0.88,3.4
1931.04,15.86,0.93,0.85,3.43
1931.05,14.33,0.91,0.82,3.45
1931.06,13.87,0.9,0.79,3.48
1931.07,14.33,0.89,0.76,3.51
1931.08,13.9,0.87,0.73,3.54
1931.09,11.83,0.86,0.7,3.57
1931.1,10.25,0.85,0.67,3.6
1931.11,10.39,0.83,0.64,3.62
1931.12,8.44,0.82,0.61,3.65
1932.01,8.3,0.79,0.59,3.68
1932.02,8.23,0.77,0.58,3.65
1932.03,8.26,0.74,0.56,3.62
1932.04,6.28,0.71,0.54,3.59
1932.05,5.51,0.69,0.53,3.56
1932.06,4.77,0.66,0.51,3.53
1932.07,5.01,0.63,0.49,3.5
1932.08,7.53,0.61,0.48,3.46
1932.09,8.26,0.58,0.46,3.43
1932.1,7.12,0.55,0.44,3.4
1932.11,7.05,0.53,0.43,3.37
1932.12,6.82,0.5,0.41,3.34
1933.01,7.09,0.5,0.41,3.31
1933.02,6.25,0.49,0.42,3.29
1933.03,6.23,0.49,0.42,3.28
1933.04,6.89,0.48,0.42,3.26
1933.05,8.87,0.48,0.42,3.25
1933.06,10.39,0.47,0.43,3.23
1933.07,11.23,0.47,0.43,3.22
1933.08,10.67,0.46,0.43,3.2
1933.09,10.58,0.46,0.43,3.18
1933.1,9.55,0.45,0.44,3.17
1933.11,9.78,0.45,0.44,3.15
1933.12,9.97,0.44,0.44,3.14
1934.01,10.54,0.44,0.44,3.12
1934.02,11.32,0.44,0.45,3.09
1934.03,10.74,0.44,0.45,3.07
1934.04,10.92,0.44,0.46,3.04
1934.05,9.81,0.44,0.46,3.01
1934.06,9.94,0.45,0.47,2.98
1934.07,9.47,0.45,0.47,2.96
1934.08,9.1,0.45,0.47,2.93
1934.09,8.88,0.45,0.48,2.9
1934.1,8.95,0.45,0.48,2.87
1934.11,9.2,0.45,0.49,2.85
1934.12,9.26,0.45,0.49,2.82
1935.01,9.26,0.45,0.57,2.79
1935.02,8.98,0.45,0.65,2.78
1935.03,8.41,0.45,0.73,2.77
1935.04,9.04,0.45,0.76,2.76
1935.05,9.75,0.44,0.78,2.74
1935.06,10.12,0.44,0.81,2.73
1935.07,10.65,0.44,0.79,2.72
1935.08,11.37,0.44,0.78,2.71
1935.09,11.61,0.44,0.76,2.7
1935.1,11.92,0.45,0.76,2.69
1935.11,13.04,0.46,0.76,2.67
1935.12,13.04,0.47,0.76,2.66
1936.01,13.76,0.48,0.77,2.65
1936.02,14.55,0.49,0.78,2.65
1936.03,14.86,0.5,0.79,2.66
1936.04,14.88,0.52,0.82,2.66
1936.05,14.09,0.53,0.85,2.66
1936.06,14.69,0.55,0.88,2.66
1936.07,15.56,0.57,0.9,2.67
1936.08,15.87,0.59,0.92,2.67
1936.09,16.05,0.61,0.94,2.67
1936.1,16.89,0.65,0.97,2.67
1936.11,17.36,0.68,0.99,2.68
1936.12,17.06,0.72,1.02,2.68
1937.01,17.59,0.73,1.05,2.68
1937.02,18.11,0.74,1.08,2.67
1937.03,18.09,0.75,1.11,2.66
1937.04,17.01,0.78,1.13,2.65
1937.05,16.25,0.81,1.15,2.64
1937.06,15.64,0.84,1.17,2.63
1937.07,16.57,0.82,1.19,2.62
1937.08,16.74,0.79,1.2,2.61
1937.09,14.37,0.77,1.22,2.6
1937.1,12.28,0.78,1.19,2.59
1937.11,11.2,0.79,1.16,2.58
1937.12,11.02,0.8,1.13,2.57
1938.01,11.31,0.79,1.08,2.56
1938.02,11.04,0.79,1.02,2.54
1938.03,10.31,0.78,0.97,2.53
1938.04,9.89,0.77,0.9,2.51
1938.05,9.98,0.75,0.84,2.49
1938.06,10.21,0.74,0.77,2.48
1938.07,12.24,0.71,0.72,2.46
1938.08,12.31,0.69,0.67,2.44
1938.09,11.75,0.66,0.62,2.43
1938.1,13.06,0.61,0.63,2.41
1938.11,13.07,0.56,0.63,2.39
1938.12,12.69,0.51,0.64,2.38
1939.01,12.5,0.51,0.66,2.36
1939.02,12.4,0.52,0.69,2.35
1939.03,12.39,0.52,0.71,2.34
1939.04,10.83,0.52,0.73,2.32
1939.05,11.23,0.53,0.74,2.31
1939.06,11.43,0.53,0.76,2.3
1939.07,11.71,0.54,0.78,2.29
1939.08,11.54,0.55,0.79,2.27
1939.09,12.77,0.56,0.81,2.26
1939.1,12.9,0.58,0.84,2.25
1939.11,12.67,0.6,0.87,2.24
1939.12,12.37,0.62,0.9,2.22
1940.01,12.3,0.62,0.93,2.21
1940.02,12.22,0.63,0.96,2.19
1940.03,12.15,0.63,0.99,2.17
1940.04,12.27,0.64,1.01,2.15
1940.05,10.58,0.64,1.02,2.12
1940.06,9.67,0.65,1.04,2.1
1940.07,9.99,0.66,1.05,2.08
1940.08,10.2,0.66,1.07,2.06
1940.09,10.63,0.67,1.08,2.04
1940.1,10.73,0.67,1.07,2.02
1940.11,10.98,0.67,1.06,1.99
1940.12,10.53,0.67,1.05,1.97
1941.01,10.55,0.67,1.05,1.95
1941.02,9.89,0.68,1.06,1.99
1941.03,9.95,0.68,1.06,2.04
1941.04,9.64,0.68,1.07,2.08
1941.05,9.43,0.69,1.08,2.12
1941.06,9.76,0.69,1.09,2.16
1941.07,10.26,0.69,1.12,2.21
1941.08,10.21,0.7,1.16,2.25
1941.09,10.24,0.7,1.19,2.29
1941.1,9.83,0.7,1.18,2.33
1941.11,9.37,0.71,1.17,2.38
1941.12,8.76,0.71,1.16,2.42
1942.01,8.93,0.7,1.12,2.46
1942.02,8.65,0.7,1.08,2.46
1942.03,8.18,0.69,1.04,2.46
1942.04,7.84,0.68,1.02,2.46
1942.05,7.93,0.67,1,2.46
1942.06,8.33,0.66,0.98,2.46
1942.07,8.64,0.65,0.97,2.47
1942.08,8.59,0.63,0.95,2.47
1942.09,8.68,0.62,0.94,2.47
1942.1,9.32,0.61,0.97,2.47
1942.11,9.47,0.6,1,2.47
1942.12,9.52,0.59,1.03,2.47
1943.01,10.09,0.59,1.04,2.47
1943.02,10.69,0.59,1.06,2.47
1943.03,11.07,0.59,1.07,2.47
1943.04,11.44,0.59,1.08,2.47
1943.05,11.89,0.59,1.09,2.47
1943.06,12.1,0.59,1.1,2.47
1943.07,12.35,0.59,1.09,2.48
1943.08,11.74,0.6,1.09,2.48
1943.09,11.99,0.6,1.08,2.48
1943.1,11.88,0.6,1.03,2.48
1943.11,11.33,0.61,0.99,2.48
1943.12,11.48,0.61,0.94,2.48
1944.01,11.85,0.61,0.94,2.48
1944.02,11.77,0.62,0.93,2.47
1944.03,12.1,0.62,0.93,2.46
1944.04,11.89,0.62,0.93,2.45
1944.05,12.1,0.63,0.92,2.44
1944.06,12.67,0.63,0.92,2.43
1944.07,13,0.63,0.91,2.43
1944.08,12.81,0.64,0.91,2.42
1944.09,12.6,0.64,0.9,2.41
1944.1,12.91,0.64,0.91,2.4
1944.11,12.82,0.64,0.92,2.39
1944.12,13.1,0.64,0.93,2.38
1945.01,13.49,0.64,0.94,2.37
1945.02,13.94,0.65,0.95,2.36
1945.03,13.93,0.65,0.96,2.34
1945.04,14.28,0.65,0.97,2.33
1945.05,14.82,0.65,0.99,2.31
1945.06,15.09,0.65,1,2.3
1945.07,14.78,0.65,1,2.28
1945.08,14.83,0.66,0.99,2.27
1945.09,15.84,0.66,0.99,2.25
1945.1,16.5,0.66,0.98,2.24
1945.11,17.04,0.66,0.97,2.22
1945.12,17.33,0.66,0.96,2.21
1946.01,18.02,0.67,0.94,2.19
1946.02,18.07,0.67,0.92,2.2
1946.03,17.53,0.68,0.9,2.2
1946.04,18.66,0.68,0.88,2.21
1946.05,18.7,0.68,0.86,2.21
1946.06,18.58,0.68,0.84,2.22
1946.07,18.05,0.68,0.86,2.22
1946.08,17.7,0.69,0.87,2.23
1946.09,15.09,0.69,0.89,2.23
1946.1,14.75,0.7,0.95,2.24
1946.11,14.69,0.7,1,2.24
1946.12,15.13,0.71,1.06,2.25
1947.01,15.21,0.71,1.13,2.25
1947.02,15.8,0.72,1.2,2.27
1947.03,15.16,0.72,1.27,2.28
1947.04,14.6,0.73,1.33,2.3
1947.05,14.34,0.75,1.38,2.31
1947.06,14.84,0.76,1.44,2.33
1947.07,15.77,0.77,1.48,2.35
1947.08,15.46,0.78,1.51,2.36
1947.09,15.06,0.79,1.55,2.38
1947.1,15.45,0.81,1.57,2.39
1947.11,15.27,0.82,1.59,2.41
1947.12,15.03,0.84,1.61,2.42
1948.01,14.83,0.84,1.64,2.44
1948.02,14.1,0.85,1.68,2.43
1948.03,14.3,0.85,1.71,2.42
1948.04,15.4,0.85,1.76,2.41
1948.05,16.15,0.85,1.81,2.4
1948.06,16.82,0.85,1.86,2.39
1948.07,16.42,0.86,1.93,2.38
1948.08,15.94,0.86,2,2.36
1948.09,15.76,0.87,2.07,2.35
1948.1,16.19,0.89,2.14,2.34
1948.11,15.29,0.91,2.22,2.33
1948.12,15.19,0.93,2.29,2.32
1949.01,15.36,0.95,2.32,2.31
1949.02,14.77,0.96,2.35,2.31
1949.03,14.91,0.98,2.38,2.31
1949.04,14.89,0.99,2.39,2.31
1949.05,14.78,1.01,2.39,2.31
1949.06,13.97,1.02,2.4,2.31
1949.07,14.76,1.03,2.4,2.32
1949.08,15.29,1.03,2.39,2.32
1949.09,15.49,1.04,2.39,2.32
1949.1,15.89,1.07,2.37,2.32
1949.11,16.11,1.11,2.34,2.32
1949.12,16.54,1.14,2.32,2.32
1950.01,16.88,1.15,2.34,2.32
1950.02,17.21,1.16,2.35,2.34
1950.03,17.35,1.17,2.37,2.36
1950.04,17.84,1.18,2.43,2.38
1950.05,18.44,1.19,2.48,2.4
1950.06,18.74,1.2,2.54,2.42
1950.07,17.38,1.24,2.6,2.45
1950.08,18.43,1.29,2.66,2.47
1950.09,19.08,1.33,2.72,2.49
1950.1,19.87,1.38,2.76,2.51
1950.11,19.83,1.42,2.8,2.53
1950.12,19.75,1.47,2.84,2.55
1951.01,21.21,1.49,2.84,2.57
1951.02,22,1.5,2.83,2.58
1951.03,21.63,1.52,2.83,2.59
1951.04,21.92,1.53,2.79,2.6
1951.05,21.93,1.55,2.76,2.61
1951.06,21.55,1.56,2.72,2.62
1951.07,21.93,1.55,2.65,2.63
1951.08,22.89,1.53,2.58,2.63
1951.09,23.48,1.52,2.51,2.64
1951.1,23.36,1.48,2.49,2.65
1951.11,22.71,1.45,2.46,2.66
1951.12,23.41,1.41,2.44,2.67
1952.01,24.19,1.41,2.43,2.68
1952.02,23.75,1.42,2.41,2.69
1952.03,23.81,1.42,2.4,2.71
1952.04,23.74,1.43,2.38,2.72
1952.05,23.73,1.44,2.36,2.73
1952.06,24.38,1.45,2.34,2.74
1952.07,25.08,1.45,2.35,2.76
1952.08,25.18,1.45,2.35,2.77
1952.09,24.78,1.45,2.36,2.78
1952.1,24.26,1.44,2.37,2.79
1952.11,25.03,1.42,2.39,2.81
1952.12,26.04,1.41,2.4,2.82
1953.01,26.18,1.41,2.41,2.83
1953.02,25.86,1.41,2.42,2.8
1953.03,25.99,1.41,2.43,2.77
1953.04,24.71,1.41,2.46,2.83
1953.05,24.84,1.42,2.48,3.05
1953.06,23.95,1.42,2.51,3.11
1953.07,24.29,1.42,2.52,2.93
1953.08,24.39,1.42,2.54,2.95
1953.09,23.27,1.42,2.55,2.87
1953.1,23.97,1.43,2.54,2.66
1953.11,24.5,1.44,2.52,2.68
1953.12,24.83,1.45,2.51,2.59
1954.01,25.46,1.46,2.52,2.48
1954.02,26.02,1.46,2.54,2.47
1954.03,26.57,1.47,2.55,2.37
1954.04,27.63,1.46,2.57,2.29
1954.05,28.73,1.46,2.6,2.37
1954.06,28.96,1.45,2.62,2.38
1954.07,30.13,1.46,2.62,2.3
1954.08,30.73,1.46,2.63,2.36
1954.09,31.45,1.47,2.63,2.38
1954.1,32.18,1.49,2.68,2.43
1954.11,33.44,1.52,2.72,2.48
1954.12,34.97,1.54,2.77,2.51
1955.01,35.6,1.55,2.83,2.61
1955.02,36.79,1.55,2.9,2.65
1955.03,36.5,1.56,2.96,2.68
1955.04,37.76,1.56,3.05,2.75
1955.05,37.6,1.57,3.13,2.76
1955.06,39.78,1.57,3.22,2.78
1955.07,42.69,1.59,3.29,2.9
1955.08,42.43,1.6,3.37,2.97
1955.09,44.34,1.62,3.44,2.97
1955.1,42.11,1.63,3.5,2.88
1955.11,44.95,1.63,3.56,2.89
1955.12,45.37,1.64,3.62,2.96
1956.01,44.15,1.67,3.64,2.9
1956.02,44.43,1.7,3.67,2.84
1956.03,47.49,1.73,3.69,2.96
1956.04,48.05,1.75,3.66,3.18
1956.05,46.54,1.78,3.63,3.07
1956.06,46.27,1.8,3.6,3
1956.07,48.78,1.81,3.55,3.11
1956.08,48.49,1.83,3.51,3.33
1956.09,46.84,1.84,3.46,3.38
1956.1,46.24,1.81,3.44,3.34
1956.11,45.76,1.77,3.43,3.49
1956.12,46.44,1.74,3.41,3.59
1957.01,45.43,1.74,3.41,3.46
1957.02,43.47,1.73,3.4,3.34
1957.03,44.03,1.73,3.4,3.41
1957.04,45.05,1.73,3.41,3.48
1957.05,46.78,1.73,3.41,3.6
1957.06,47.55,1.73,3.42,3.8
1957.07,48.51,1.74,3.44,3.93
1957.08,45.84,1.75,3.45,3.93
1957.09,43.98,1.76,3.47,3.92
1957.1,41.24,1.77,3.44,3.97
1957.11,40.35,1.78,3.4,3.72
1957.12,40.33,1.79,3.37,3.21
1958.01,41.12,1.78,3.29,3.09
1958.02,41.26,1.78,3.22,3.05
1958.03,42.11,1.77,3.14,2.98
1958.04,42.34,1.76,3.07,2.88
1958.05,43.7,1.74,3,2.92
1958.06,44.75,1.73,2.93,2.97
1958.07,45.98,1.73,2.91,3.2
1958.08,47.7,1.73,2.9,3.54
1958.09,48.96,1.73,2.88,3.76
1958.1,50.95,1.74,2.88,3.8
1958.11,52.5,1.74,2.89,3.74
1958.12,53.49,1.75,2.89,3.86
1959.01,55.62,1.76,2.96,4.02
1959.02,54.77,1.76,3.04,3.96
1959.03,56.16,1.77,3.11,3.99
1959.04,57.1,1.78,3.21,4.12
1959.05,57.96,1.78,3.3,4.31
1959.06,57.46,1.79,3.4,4.34
1959.07,59.74,1.8,3.41,4.4
1959.08,59.4,1.8,3.42,4.43
1959.09,57.05,1.81,3.43,4.68
1959.1,57,1.82,3.42,4.53
1959.11,57.23,1.82,3.4,4.53
1959.12,59.06,1.83,3.39,4.69
1960.01,58.03,1.87,3.39,4.72
1960.02,55.78,1.9,3.39,4.49
1960.03,55.02,1.94,3.39,4.25
1960.04,55.73,1.94,3.35,4.28
1960.05,55.22,1.95,3.3,4.35
1960.06,57.26,1.95,3.26,4.15
1960.07,55.84,1.95,3.26,3.9
1960.08,56.51,1.95,3.27,3.8
1960.09,54.81,1.95,3.27,3.8
1960.1,53.73,1.95,3.27,3.89
1960.11,55.47,1.95,3.27,3.93
1960.12,56.8,1.95,3.27,3.84
1961.01,59.72,1.95,3.21,3.84
1961.02,62.17,1.94,3.15,3.78
1961.03,64.12,1.94,3.09,3.74
1961.04,65.83,1.94,3.07,3.78
1961.05,66.5,1.94,3.05,3.71
1961.06,65.62,1.94,3.03,3.88
1961.07,65.44,1.95,3.04,3.92
1961.08,67.79,1.95,3.04,4.04
1961.09,67.26,1.96,3.05,3.98
1961.1,68,1.98,3.1,3.92
1961.11,71.08,2,3.14,3.94
1961.12,71.74,2.02,3.19,4.06
1962.01,69.07,2.03,3.25,4.08
1962.02,70.22,2.03,3.31,4.04
1962.03,70.29,2.04,3.37,3.93
1962.04,68.05,2.05,3.4,3.84
1962.05,62.99,2.05,3.44,3.87
1962.06,55.63,2.06,3.47,3.91
1962.07,56.97,2.07,3.49,4.01
1962.08,58.52,2.07,3.51,3.98
1962.09,58,2.08,3.53,3.98
1962.1,56.17,2.1,3.58,3.93
1962.11,60.04,2.11,3.62,3.92
1962.12,62.64,2.13,3.67,3.86
1963.01,65.06,2.14,3.68,3.83
1963.02,65.92,2.14,3.7,3.92
1963.03,65.67,2.15,3.71,3.93
1963.04,68.76,2.17,3.75,3.97
1963.05,70.14,2.18,3.8,3.93
1963.06,70.11,2.2,3.84,3.99
1963.07,69.07,2.2,3.88,4.02
1963.08,70.98,2.21,3.92,4
1963.09,72.85,2.21,3.96,4.08
1963.1,73.03,2.23,3.98,4.11
1963.11,72.62,2.26,4,4.12
1963.12,74.17,2.28,4.02,4.13
1964.01,76.45,2.3,4.07,4.17
1964.02,77.39,2.31,4.13,4.15
1964.03,78.8,2.33,4.18,4.22
1964.04,79.94,2.35,4.23,4.23
1964.05,80.72,2.36,4.28,4.2
1964.06,80.24,2.38,4.33,4.17
1964.07,83.22,2.4,4.38,4.19
1964.08,82,2.42,4.42,4.19
1964.09,83.41,2.44,4.47,4.2
1964.1,84.85,2.46,4.5,4.19
1964.11,85.44,2.48,4.52,4.15
1964.12,83.96,2.5,4.55,4.18
1965.01,86.12,2.52,4.59,4.19
1965.02,86.75,2.53,4.64,4.21
1965.03,86.83,2.55,4.68,4.21
1965.04,87.97,2.57,4.73,4.2
1965.05,89.28,2.59,4.79,4.21
1965.06,85.04,2.61,4.84,4.21
1965.07,84.91,2.63,4.89,4.2
1965.08,86.49,2.64,4.93,4.25
1965.09,89.38,2.66,4.98,4.29
1965.1,91.39,2.68,5.05,4.35
1965.11,92.15,2.7,5.12,4.45
1965.12,91.73,2.72,5.19,4.62
1966.01,93.32,2.74,5.24,4.61
1966.02,92.69,2.76,5.29,4.83
1966.03,88.88,2.78,5.34,4.87
1966.04,91.6,2.8,5.38,4.75
1966.05,86.78,2.81,5.42,4.78
1966.06,86.06,2.83,5.46,4.81
1966.07,85.84,2.85,5.48,5.02
1966.08,80.65,2.87,5.49,5.22
1966.09,77.81,2.89,5.51,5.18
1966.1,77.13,2.88,5.52,5.01
1966.11,80.99,2.88,5.54,5.16
1966.12,81.33,2.87,5.55,4.84
1967.01,84.45,2.88,5.52,4.58
1967.02,87.36,2.89,5.48,4.63
1967.03,89.42,2.9,5.45,4.54
1967.04,90.96,2.9,5.41,4.59
1967.05,92.59,2.9,5.37,4.85
1967.06,91.43,2.9,5.33,5.02
1967.07,93.01,2.91,5.32,5.16
1967.08,94.49,2.91,5.31,5.28
1967.09,95.81,2.92,5.3,5.3
1967.1,95.66,2.92,5.31,5.48
1967.11,92.66,2.92,5.32,5.75
1967.12,95.3,2.92,5.33,5.7
1968.01,95.04,2.93,5.37,5.53
1968.02,90.75,2.94,5.4,5.56
1968.03,89.09,2.95,5.44,5.74
1968.04,95.67,2.96,5.48,5.64
1968.05,97.87,2.98,5.53,5.87
1968.06,100.5,2.99,5.57,5.72
1968.07,100.3,3,5.6,5.5
1968.08,98.11,3.02,5.63,5.42
1968.09,101.3,3.03,5.66,5.46
1968.1,103.8,3.04,5.69,5.58
1968.11,105.4,3.06,5.73,5.7
1968.12,106.5,3.07,5.76,6.03
1969.01,102,3.08,5.78,6.04
1969.02,101.5,3.09,5.8,6.19
1969.03,99.3,3.1,5.82,6.3
1969.04,101.3,3.11,5.83,6.17
1969.05,104.6,3.12,5.83,6.32
1969.06,99.14,3.13,5.84,6.57
1969.07,94.71,3.14,5.86,6.72
1969.08,94.18,3.14,5.87,6.69
1969.09,94.51,3.15,5.89,7.16
1969.1,95.52,3.15,5.85,7.1
1969.11,96.21,3.16,5.82,7.14
1969.12,91.11,3.16,5.78,7.65
1970.01,90.31,3.16,5.73,7.79
1970.02,87.16,3.17,5.68,7.24
1970.03,88.65,3.17,5.63,7.07
1970.04,85.95,3.17,5.59,7.39
1970.05,76.06,3.18,5.56,7.91
1970.06,75.59,3.18,5.52,7.84
1970.07,75.72,3.18,5.47,7.46
1970.08,77.92,3.19,5.41,7.53
1970.09,82.58,3.19,5.36,7.39
1970.1,84.37,3.17,5.28,7.33
1970.11,84.28,3.16,5.21,6.84
1970.12,90.05,3.14,5.13,6.39
1971.01,93.49,3.13,5.16,6.24
1971.02,97.11,3.12,5.19,6.11
1971.03,99.6,3.11,5.22,5.7
1971.04,103,3.11,5.25,5.83
1971.05,101.6,3.1,5.29,6.39
1971.06,99.72,3.1,5.32,6.52
1971.07,99,3.1,5.36,6.73
1971.08,97.24,3.09,5.39,6.58
1971.09,99.4,3.09,5.43,6.14
1971.1,97.29,3.08,5.52,5.93
1971.11,92.78,3.08,5.61,5.81
1971.12,99.17,3.07,5.7,5.93
1972.01,103.3,3.07,5.74,5.95
1972.02,105.2,3.07,5.77,6.08
1972.03,107.7,3.07,5.81,6.07
1972.04,108.8,3.07,5.86,6.19
1972.05,107.7,3.07,5.92,6.13
1972.06,108,3.07,5.97,6.11
1972.07,107.2,3.07,6.03,6.11
1972.08,111,3.08,6.08,6.21
1972.09,109.4,3.08,6.14,6.55
1972.1,109.6,3.1,6.23,6.48
1972.11,115.1,3.13,6.33,6.28
1972.12,117.5,3.15,6.42,6.36
1973.01,118.4,3.16,6.55,6.46
1973.02,114.2,3.16,6.67,6.64
1973.03,112.4,3.17,6.8,6.71
1973.04,110.3,3.19,6.94,6.67
1973.05,107.2,3.2,7.09,6.85
1973.06,104.8,3.22,7.23,6.9
1973.07,105.8,3.24,7.38,7.13
1973.08,103.8,3.25,7.54,7.4
1973.09,105.6,3.27,7.69,7.09
1973.1,109.8,3.31,7.85,6.79
1973.11,102,3.34,8,6.73
1973.12,94.78,3.38,8.16,6.74
1974.01,96.11,3.4,8.23,6.99
1974.02,93.45,3.42,8.29,6.96
1974.03,97.44,3.44,8.36,7.21
1974.04,92.46,3.46,8.49,7.51
1974.05,89.67,3.48,8.61,7.58
1974.06,89.79,3.5,8.74,7.54
1974.07,79.31,3.53,8.86,7.81
1974.08,76.03,3.56,8.99,8.04
1974.09,68.12,3.59,9.11,8.04
1974.1,69.44,3.59,9.04,7.9
1974.11,71.74,3.6,8.96,7.68
1974.12,67.07,3.6,8.89,7.43
1975.01,72.56,3.62,8.74,7.5
1975.02,80.1,3.65,8.6,7.39
1975.03,83.78,3.67,8.45,7.73
1975.04,84.72,3.68,8.29,8.23
1975.05,90.1,3.7,8.12,8.06
1975.06,92.4,3.71,7.96,7.86
1975.07,92.49,3.71,7.89,8.06
1975.08,85.71,3.71,7.83,8.4
1975.09,84.67,3.71,7.76,8.43
1975.1,88.57,3.7,7.83,8.14
1975.11,90.07,3.69,7.89,8.05
1975.12,88.7,3.68,7.96,8
1976.01,96.86,3.68,8.19,7.74
1976.02,100.6,3.69,8.43,7.79
1976.03,101.1,3.69,8.66,7.73
1976.04,101.9,3.71,8.86,7.56
1976.05,101.2,3.74,9.05,7.9
1976.06,101.8,3.76,9.25,7.86
1976.07,104.2,3.79,9.35,7.83
1976.08,103.3,3.82,9.45,7.77
1976.09,105.5,3.85,9.55,7.59
1976.1,101.9,3.92,9.67,7.41
1976.11,101.2,3.98,9.79,7.29
1976.12,104.7,4.05,9.91,6.87
1977.01,103.8,4.1,9.97,7.21
1977.02,101,4.14,10.02,7.39
1977.03,100.6,4.19,10.08,7.46
1977.04,99.05,4.25,10.19,7.37
1977.05,98.76,4.3,10.31,7.46
1977.06,99.29,4.36,10.42,7.28
1977.07,100.2,4.41,10.52,7.33
1977.08,97.75,4.45,10.61,7.4
1977.09,96.23,4.5,10.71,7.34
1977.1,93.74,4.56,10.77,7.52
1977.11,94.28,4.61,10.83,7.58
1977.12,93.82,4.67,10.89,7.69
1978.01,90.25,4.71,10.9,7.96
1978.02,88.98,4.76,10.91,8.03
1978.03,88.82,4.8,10.92,8.04
1978.04,92.71,4.84,11.02,8.15
1978.05,97.41,4.87,11.13,8.35
1978.06,97.66,4.91,11.23,8.46
1978.07,97.19,4.95,11.34,8.64
1978.08,103.9,4.98,11.46,8.41
1978.09,103.9,5.02,11.57,8.42
1978.1,100.6,5.04,11.82,8.64
1978.11,94.71,5.05,12.08,8.81
1978.12,96.11,5.07,12.33,9.01
1979.01,99.71,5.11,12.65,9.1
1979.02,98.23,5.16,12.98,9.1
1979.03,100.1,5.2,13.3,9.12
1979.04,102.1,5.25,13.53,9.18
1979.05,99.73,5.29,13.75,9.25
1979.06,101.7,5.34,13.98,8.91
1979.07,102.7,5.4,14.2,8.95
1979.08,107.4,5.45,14.41,9.03
1979.09,108.6,5.51,14.63,9.33
1979.1,104.5,5.56,14.71,10.3
1979.11,103.7,5.6,14.78,10.65
1979.12,107.8,5.65,14.86,10.39
1980.01,110.9,5.7,15,10.8
1980.02,115.3,5.75,15.15,12.41
1980.03,104.7,5.8,15.29,12.75
1980.04,103,5.85,15.17,11.47
1980.05,107.7,5.89,15.06,10.18
1980.06,114.6,5.94,14.94,9.78
1980.07,119.8,5.98,14.84,10.25
1980.08,123.5,6.03,14.74,11.1
1980.09,126.5,6.07,14.64,11.51
1980.1,130.2,6.1,14.7,11.75
1980.11,135.7,6.13,14.76,12.68
1980.12,133.5,6.16,14.82,12.84
1981.01,133,6.2,14.74,12.57
1981.02,128.4,6.24,14.66,13.19
1981.03,133.2,6.28,14.58,13.12
1981.04,134.4,6.32,14.72,13.68
1981.05,131.7,6.35,14.87,14.1
1981.06,132.3,6.39,15.01,13.47
1981.07,129.1,6.43,15.1,14.28
1981.08,129.6,6.48,15.18,14.94
1981.09,118.3,6.52,15.27,15.32
1981.1,119.8,6.56,15.3,15.15
